MeasureVersionID,StartDate,EndDate,Res,MFmCmn,NonRes
SWAP001-06,1/1/2024,12/31/2028,Res,,
SWAP003-05,1/1/2026,12/31/2028,Res,MFmCmn,
SWAP004-04,1/1/2026,12/31/2028,Res,MFmCmn,
SWAP005-04,1/1/2026,12/31/2028,,,NonRes
SWAP006-05,1/1/2026,4/22/2027,Res,,
SWAP007-04,1/1/2026,5/26/2026,Res,,
SWAP008-04,1/1/2026,12/31/2028,Res,,
SWAP011-05,1/1/2026,12/31/2028,Res,,NonRes
SWAP012-03,1/1/2026,12/31/2028,Res,,NonRes
SWAP013-06,1/1/2026,12/31/2028,Res,,
SWAP014-04,1/1/2026,12/31/2028,Res,MFmCmn,
SWAP015-04,1/1/2026,12/31/2028,Res,,
SWAP017-04,1/1/2026,12/31/2028,Res,,
SWAP020-01,10/1/2023,12/31/2028,Res,,
SWBE001-05,1/1/2026,12/31/2028,,,NonRes
SWBE002-05,1/1/2026,12/31/2028,,,NonRes
SWBE006-04,1/1/2026,12/31/2028,Res,,
SWBE007-04,1/1/2026,12/31/2028,Res,,
SWBE010-01,4/6/2023,12/31/2028,Res,,
SWBE013-01,1/1/2026,12/31/2028,Res,,
SWBE014-01,1/1/2026,12/31/2028,Res,,
SWCA001-05,1/1/2026,12/31/2028,,,NonRes
SWCR001-05,1/1/2026,12/31/2028,,,NonRes
SWCR002-05,1/1/2026,12/31/2028,,,NonRes
SWCR003-04,1/1/2026,12/31/2028,,,NonRes
SWCR007-04,1/1/2024,12/31/2028,,,NonRes
SWCR008-05,1/1/2026,12/31/2028,,,NonRes
SWCR010-05,1/1/2026,12/31/2028,,,NonRes
SWCR012-03,1/1/2024,12/31/2028,,,NonRes
SWCR014-05,1/1/2026,12/31/2028,,,NonRes
SWCR015-06,1/1/2026,12/31/2028,,,NonRes
SWCR017-06,1/1/2026,12/31/2028,,,NonRes
SWCR018-05,1/1/2026,12/31/2028,,,NonRes
SWCR019-04,1/1/2026,12/31/2028,,,NonRes
SWCR020-04,1/1/2026,12/31/2028,,,NonRes
SWCR021-04,1/1/2026,12/31/2028,,,NonRes
SWCR022-04,1/1/2024,12/31/2028,,,NonRes
SWFS001-04,1/1/2026,12/31/2028,,,NonRes
SWFS002-05,1/1/2026,12/31/2028,,,NonRes
SWFS003-05,1/1/2026,12/31/2028,,,NonRes
SWFS004-03,1/1/2026,12/31/2028,,,NonRes
SWFS005-05,1/1/2026,12/31/2028,,,NonRes
SWFS006-04,1/1/2026,12/31/2028,,,NonRes
SWFS007-05,1/1/2026,12/31/2028,,,NonRes
SWFS008-03,1/1/2026,12/31/2028,,,NonRes
SWFS009-04,1/1/2026,12/31/2028,,,NonRes
SWFS010-04,1/1/2026,12/31/2028,,,NonRes
SWFS011-07,1/1/2026,12/31/2028,,,NonRes
SWFS012-04,1/1/2026,12/31/2028,,,NonRes
SWFS013-04,1/1/2026,12/31/2028,,,NonRes
SWFS014-04,1/1/2026,12/31/2028,,,NonRes
SWFS016-04,1/1/2026,12/31/2028,,,NonRes
SWFS017-04,1/1/2026,12/31/2028,,,NonRes
SWFS018-06,1/1/2026,12/31/2028,,,NonRes
SWFS019-04,1/1/2026,12/31/2028,,,NonRes
SWFS021-05,1/1/2026,12/31/2028,,,NonRes
SWFS022-04,1/1/2026,12/31/2028,,,NonRes
SWFS023-04,1/1/2026,12/31/2028,,,NonRes
SWFS024-03,1/1/2026,12/31/2028,,,NonRes
SWFS025-03,1/1/2026,12/31/2028,,,NonRes
SWFS026-03,1/1/2026,12/31/2028,,,NonRes
SWFS027-02,1/1/2026,12/31/2028,,,NonRes
SWFS028-02,1/1/2026,12/31/2028,,,NonRes
SWFS029-02,1/1/2026,12/31/2028,,,NonRes
SWFS030-02,1/1/2026,12/31/2028,,,NonRes
SWFS032-01,1/1/2026,12/31/2028,,,NonRes
SWFS034-01,1/1/2026,12/31/2028,,,NonRes
SWHC001-07,1/1/2026,12/31/2028,Res,,
SWHC002-06,1/1/2026,12/31/2028,Res,,
SWHC004-06,1/1/2024,12/31/2028,Res,,NonRes
SWHC005-04,1/1/2025,12/31/2028,,,NonRes
SWHC006-06,1/1/2026,12/31/2028,,,NonRes
SWHC008-02,1/1/2024,12/31/2028,,,NonRes
SWHC009-05,1/1/2026,12/31/2028,,,NonRes
SWHC011-03,1/1/2024,12/31/2028,,,NonRes
SWHC012-04,1/1/2026,12/31/2028,,,NonRes
SWHC013-06,1/1/2026,12/31/2028,,,NonRes
SWHC014-06,1/1/2026,12/31/2028,,,NonRes
SWHC018-05,1/1/2026,12/31/2028,,,NonRes
SWHC020-05,1/1/2026,12/31/2028,,,NonRes
SWHC023-07,1/1/2026,12/31/2028,,,NonRes
SWHC024-06,1/1/2026,12/31/2028,,,NonRes
SWHC027-06,1/1/2026,12/31/2028,Res,,NonRes
SWHC029-04,1/1/2024,12/31/2028,Res,,
SWHC031-07,1/1/2026,12/31/2028,Res,,
SWHC038-05,1/1/2026,12/31/2028,Res,,
SWHC039-09,1/1/2026,12/31/2028,Res,,
SWHC041-08,1/1/2026,12/31/2028,,,NonRes
SWHC042-04,1/1/2024,12/31/2028,,,NonRes
SWHC043-06,1/1/2026,12/31/2028,,,NonRes
SWHC044-05,1/1/2026,12/31/2028,Res,,
SWHC045-04,1/1/2026,12/31/2028,Res,,
SWHC046-05,1/1/2025,12/31/2028,,,NonRes
SWHC047-07,1/1/2026,12/31/2028,Res,,
SWHC048-04,1/1/2024,12/31/2028,,,NonRes
SWHC049-06,1/1/2026,12/31/2028,Res,,
SWHC050-06,1/1/2026,12/31/2028,Res,,
SWHC054-03,1/1/2026,12/31/2028,Res,,
SWHC057-02,1/1/2026,12/31/2028,Res,,
SWHC058-02,1/1/2026,12/31/2028,Res,MFmCmn,NonRes
SWHC059-05,1/1/2026,12/31/2028,Res,,
SWHC061-01,5/1/2023,12/31/2028,Res,,
SWHC062-01,9/16/2024,12/31/2028,,MFmCmn,NonRes
SWLG019-01,8/30/2024,12/31/2028,,,NonRes
SWLG020-03,1/1/2026,12/31/2028,,MFmCmn,NonRes
SWMI003-02,1/1/2026,12/31/2028,Res,,NonRes
SWPR001-03,1/1/2026,12/31/2028,,,NonRes
SWPR002-03,1/1/2026,12/31/2028,,,NonRes
SWPR003-03,1/1/2026,12/31/2028,,,NonRes
SWPR004-05,1/1/2026,12/31/2028,,,NonRes
SWPR005-03,1/1/2026,12/31/2028,,,NonRes
SWPR006-03,1/1/2026,12/31/2028,,,NonRes
SWPR007-02,1/1/2026,12/31/2028,,,NonRes
SWPR008-02,1/1/2026,12/31/2028,,,NonRes
SWRE001-04,1/1/2026,12/31/2028,Res,,NonRes
